"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","burst","year"
"1",701567.485864279,7236445.17548106,2008-05-12 00:27:00,16.8671925205272,18.8497102055699,25.2945400898789,7200,0,0.840847691990315,NA,"r_RG_08_010","r_RG_08_010.1","2008"
"2",701584.353056799,7236464.02519127,2008-05-12 02:27:00,-2900.04760997777,1710.47215495724,3366.89636505519,7200,639.813758358492,2.60870075440243,1.76785306241212,"r_RG_08_010","r_RG_08_010.1","2008"
"3",698684.305446821,7238174.49734623,2008-05-12 04:27:00,-877.502113989787,1213.29034437146,1497.35881464716,7200,11303283.4329391,2.1969510135167,-0.411749740885729,"r_RG_08_010","r_RG_08_010.1","2008"
"4",697806.803332832,7239387.7876906,2008-05-12 06:27:00,-387.846475406084,221.321925788186,446.551546094641,7200,22801699.718031,2.62303884342064,0.426087829903938,"r_RG_08_010","r_RG_08_010.1","2008"
"5",697418.956857426,7239609.10961639,2008-05-12 08:27:00,-1434.8135728226,3530.83881811146,3811.23506861472,7200,27220772.1333604,1.95677873603509,-0.666260107385549,"r_RG_08_010","r_RG_08_010.1","2008"
"6",695984.143284603,7243139.9484345,2008-05-12 10:27:00,-868.593185004778,1515.65663691144,1746.90273399822,7200,75993699.2600502,2.09118681598251,0.134408079947422,"r_RG_08_010","r_RG_08_010.1","2008"
"7",695115.550099598,7244655.60507141,2008-05-12 12:27:00,-389.942134827841,958.076596211642,1034.39143109491,7200,109038629.169582,1.9573270245087,-0.133859791473816,"r_RG_08_010","r_RG_08_010.1","2008"
"8",694725.60796477,7245613.68166762,2008-05-12 14:27:00,30.9349495959468,55.6906353803352,63.7057138376866,7200,130872798.884715,1.06375672025226,-0.89357030425644,"r_RG_08_010","r_RG_08_010.1","2008"
"9",694756.542914366,7245669.372303,2008-05-12 16:27:00,-115.548755265656,67.7696815365925,133.956129307373,7200,131474750.8768,2.61115659980897,1.54739987955671,"r_RG_08_010","r_RG_08_010.1","2008"
"10",694640.994159101,7245737.14198454,2008-05-12 18:27:00,-585.677996413899,-77.8694069636986,590.831921974665,7200,134316928.843582,-3.0094118764713,0.662616830899317,"r_RG_08_010","r_RG_08_010.1","2008"
"11",694055.316162687,7245659.27257757,2008-05-12 20:27:00,-48.8505903892219,371.12400407251,374.325268423316,7200,141332278.929434,1.70167268196393,-1.57210074874436,"r_RG_08_010","r_RG_08_010.1","2008"
"12",694006.465572298,7246030.39658165,2008-05-12 22:27:00,-64.6651333576301,-78.7692352440208,101.912569848316,7200,149045491.402808,-2.25817819105459,2.32333443416106,"r_RG_08_010","r_RG_08_010.1","2008"
"13",693941.80043894,7245951.6273464,2008-05-13 00:27:00,5.28861426690128,9.66171203088015,11.0144505188287,7200,148523705.274227,1.06996794557137,-2.95503917055363,"r_RG_08_010","r_RG_08_010.1","2008"
"14",693947.089053207,7245961.28905843,2008-05-13 02:27:00,204.707181916572,48.168679642491,210.298007662283,7200,148626865.175593,0.23110123878894,-0.838866706782427,"r_RG_08_010","r_RG_08_010.1","2008"
