sto,x,y,wald,wald_max,versiegelt
1,4319875.552744432,3164431.434952694,89.2599105834961,97,0
2,4319975.577551409,3164430.0668152478,88.83740234375,97,0
3,4320575.7260419885,3164421.858064549,79.189697265625,94,0
4,4320675.750731589,3164420.489951767,89.567535400390625,97,0
5,4320975.824698921,3164416.3856345676,92.818817138671875,100,0
6,4321075.849320775,3164415.0175358835,92.84232330322266,100,0
7,4321175.873925615,3164413.6494407253,92.19229888916016,100,0
8,4321275.898513411,3164412.2813490937,92.25218963623047,98,0
9,4321375.923084133,3164410.913260992,88.35907745361328,96,0
10,4321475.947637748,3164409.545176417,88.350006103515625,96,0
11,4321575.972174227,3164408.1770953704,91.32240295410156,99,0
12,4321675.99669354,3164406.8090178515,90.015838623046875,100,0
13,4321776.021195655,3164405.440943858,83.876007080078125,90,0
14,4319674.134975602,3164334.1461132113,88.97869110107422,100,0
15,4319774.159817167,3164332.7779854825,88.02715301513672,96,0
16,4319874.1846421175,3164331.409861291,84.32035064697266,96,0
17,4319974.209450424,3164330.041740635,84.63529205322266,96,0
18,4320074.234242055,3164328.67362352,90.53060150146484,97,0
19,4320274.283775168,3164325.9373999215,94.5607681274414,100,0
20,4320374.308516589,3164324.5692934333,90.05335998535156,98,0
21,4320474.33324121,3164323.2011904814,79.41510009765625,91,0
22,4320574.357949004,3164321.8330910765,75.03044128417969,88,0
23,4320674.382639936,3164320.464995215,82.12442779541016,99,0
24,4320774.40731398,3164319.0969028943,91.29840850830078,100,0
25,4320874.431971103,3164317.7288141176,91.52018737792969,99,0
26,4320974.456611272,3164316.3607288864,92.26251220703125,99,0
27,4321074.48123446,3164314.992647199,94.93782043457031,100,0
28,4321174.505840636,3164313.624569055,92.23658752441406,100,0
29,4321274.530429765,3164312.2564944564,91.99592590332031,98,0
30,4321374.555001822,3164310.888423404,91.25025939941406,99,0
31,4321474.579556774,3164309.5203558966,90.06768798828125,98,0
32,4321574.60409459,3164308.1522919363,87.73950958251953,97,0
33,4321674.628615238,3164306.784231523,85.92463684082031,96,0
34,4321774.653118691,3164305.4161746544,82.8162841796875,91,0
35,4321874.677604916,3164304.0481213355,82.7519302368164,93,0
